,precision,recall,f1-score,support
Worms,0.21428571428571427,0.061224489795918366,0.09523809523809523,49.0
Backdoor,0.36363636363636365,0.17582417582417584,0.23703703703703705,91.0
DoS,0.34710743801652894,0.35,0.34854771784232363,600.0
Exploits,0.44083969465648853,0.385,0.4110320284697509,600.0
Fuzzers,0.4506258692628651,0.54,0.49128127369219105,600.0
Analysis,0.43902439024390244,0.7012987012987013,0.54,77.0
Reconnaissance,0.47804878048780486,0.6533333333333333,0.5521126760563381,600.0
Generic,0.719047619047619,0.5033333333333333,0.592156862745098,600.0
Shellcode,0.8548387096774194,0.7571428571428571,0.803030303030303,420.0
Benign,0.9714765100671141,0.965,0.9682274247491639,600.0
