feature,perm_importance_mean,perm_importance_std
Bwd Packet Length Max,0.17088724591501733,0.008733561140288304
Fwd Seg Size Min,0.1495894927905625,0.008605994075090705
Bwd Packet Length Std,0.14845422903511016,0.009845235702885547
Packet Length Max,0.14190631610459725,0.006636746797368074
Packet Length Variance,0.13548178401504568,0.003600732910325875
Packet Length Std,0.1313829901968345,0.008762213337086147
Packet Length Mean,0.13068864717075163,0.006430560980549999
Dst Port,0.1287953442932103,0.005056031808842996
Average Packet Size,0.12550719140859232,0.008026185471832464
Protocol,0.10835643129246912,0.004192092869201335
Fwd Packet Length Std,0.09893427649841628,0.009446821664856695
Fwd Packet Length Max,0.09495241742810237,0.0037886851416849333
Bwd Init Win Bytes,0.09246123471380988,0.008151630521385319
Fwd Packet Length Mean,0.07627551593722234,0.003369597601597063
Fwd Segment Size Avg,0.07627551593722234,0.003369597601597063
FWD Init Win Bytes,0.06691206420293368,0.004650075357715348
Bwd Segment Size Avg,0.06048539912580614,0.002252725559343904
Bwd Packet Length Mean,0.06048539912580614,0.002252725559343904
PSH Flag Count,0.04498528956812181,0.004423378134722607
Bwd Packets/s,0.041538722037416285,0.0014026816934674183
Flow IAT Mean,0.03966413648414395,0.005264065258518898
Fwd Packet Length Min,0.03877209063032967,0.0043218142907966665
Flow IAT Max,0.036024783481890865,0.004192599076128793
Fwd IAT Mean,0.03465601712905038,0.0038514404389600448
Packet Length Min,0.03149333799108538,0.0035431639998564587
Fwd IAT Max,0.030855492040044518,0.0014486354727282931
FIN Flag Count,0.029628248316396655,0.007218853160414024
SYN Flag Count,0.028290315291456692,0.004210969789786229
Fwd IAT Total,0.026976692296017558,0.002039791983128308
Down/Up Ratio,0.02625823200716295,0.0016681245796673994
ts_dayofweek,0.026136512270857493,0.005519464673985892
Fwd Header Length,0.025047485624781207,0.005425064284450855
Flow IAT Std,0.02434148968487455,0.006531339145894815
Bwd IAT Mean,0.02291029116853487,0.0021640644441199525
Bwd Header Length,0.02063838903634909,0.004080673078357868
ts_month,0.020155546783269696,0.0036425134130318266
ACK Flag Count,0.019930031170230022,0.0046351113877316245
Bwd IAT Std,0.018561096509508924,0.0034675273968108092
ts_hour,0.01846974419336731,0.0023652548575140166
Bwd Bytes/Bulk Avg,0.018141628692681388,0.0031889791723793645
Bwd IAT Total,0.016835079286656996,0.0034546985395066446
Flow Duration,0.016199600771819433,0.005991948140364245
Bwd IAT Max,0.015545313813181316,0.003366690619722458
Fwd IAT Std,0.013077670242633533,0.0033279908804931704
Bwd Packet Length Min,0.009911653647528352,0.0016589760253920033
Total Bwd packets,0.009163703708176851,0.003139773110875344
Bwd Packet/Bulk Avg,0.008975604624525402,0.0022075200003554753
Fwd Act Data Pkts,0.008750606664428662,0.003946432420550671
Total Length of Bwd Packet,0.007750765323795173,0.0012836435546759416
Total Length of Fwd Packet,0.0077136235035213385,0.0017609662894907657
Total Fwd Packet,0.007598675836730217,0.004689368244534337
Flow Bytes/s,0.0072553142717348695,0.0023623511633273507
Fwd Packets/s,0.004849140177536748,0.0025115458604762202
Idle Min,0.004764530910346965,0.002040480575219064
Flow Packets/s,0.004696620784410977,0.002456078812921701
Subflow Bwd Packets,0.004325183814863731,0.0006474078096017244
Idle Max,0.003957402223179196,0.002460653580920348
Src Port,0.003551703866356748,0.002360832888011677
Subflow Bwd Bytes,0.002543898545159284,0.0004413376781820703
Active Max,0.002155478170189862,0.0007500731777008283
Flow IAT Min,0.002104834802579947,0.0012071907765896547
Idle Mean,0.0013148229152115,0.0024368800049756403
Subflow Fwd Packets,0.001311485958958647,0.0011535985871729102
Subflow Fwd Bytes,0.0011459996258950777,0.00011172054720405612
Fwd IAT Min,0.0006841604676531166,0.0013921248707526681
Active Mean,0.0006658404007643615,0.001025546145047099
Bwd Bulk Rate Avg,0.0005621581869448278,0.0005963137420641175
Active Std,0.0004961697546112198,0.000542047913969506
Active Min,0.000252275918978917,0.0009094659673088197
RST Flag Count,0.0,0.0
Fwd PSH Flags,0.0,0.0
Bwd IAT Min,-5.440218731291857e-05,0.0029644098781784673
Idle Std,-0.00015604707178105138,0.0011384282982869563
