feature,importance_mean_abs_coef
Fwd PSH Flags,1.8773607875926501
RST Flag Count,1.6875265856052857
ts_month,0.17418343239134704
FIN Flag Count,0.15046059922023694
Down/Up Ratio,0.1328988868067777
ts_dayofweek,0.12822970141300244
Protocol,0.10539918211830379
Fwd Seg Size Min,0.07165688205802775
PSH Flag Count,0.06130109062914345
SYN Flag Count,0.05280287216767686
Bwd Packet Length Min,0.017207470987056873
Flow IAT Min,0.009820570904323794
Bwd IAT Min,0.007039728425440289
ts_hour,0.005943946857026342
Bwd Packet Length Std,0.005424084956632726
Fwd IAT Min,0.0036639751617721338
Fwd Packet Length Min,0.003577093672790208
Packet Length Min,0.0034625920188054216
Bwd Packet/Bulk Avg,0.0032450495978252926
Packet Length Std,0.00318362624371129
Fwd Act Data Pkts,0.002745349571980709
Subflow Bwd Packets,0.002682977910643109
Total Fwd Packet,0.0024802242643796515
Bwd Packet Length Max,0.002428601805633563
Fwd Packet Length Std,0.0023540182120399037
Average Packet Size,0.002328757751195807
Total Bwd packets,0.0022533893757104933
Packet Length Mean,0.001825289561224249
ACK Flag Count,0.00170586329580764
Fwd Packet Length Max,0.0015454662964134364
Subflow Fwd Packets,0.001516314149189612
Bwd Packet Length Mean,0.0015032289157871142
Bwd Segment Size Avg,0.001503228915787023
Fwd Segment Size Avg,0.0014907340683498688
Fwd Packet Length Mean,0.0014907340683498367
Packet Length Max,0.0008376496942133844
Bwd Packets/s,0.0002502094870989768
Fwd Header Length,0.00021037876925022336
Bwd Header Length,0.0001809103139647908
Dst Port,0.0001264090319776263
Bwd Init Win Bytes,3.84951750791422e-05
FWD Init Win Bytes,2.8498950682772787e-05
Packet Length Variance,9.405498283135055e-06
Total Length of Fwd Packet,2.242268245839382e-06
Bwd Bytes/Bulk Avg,1.753936284933972e-06
Total Length of Bwd Packet,1.5863058000506636e-06
Src Port,1.3386959182715694e-06
Subflow Bwd Bytes,1.1578625936393046e-06
Fwd IAT Mean,1.1034493594519991e-06
Subflow Fwd Bytes,1.0511349017768205e-06
Flow IAT Mean,9.315310221904571e-07
Flow IAT Std,9.139199429690269e-07
Bwd IAT Mean,6.977568398006182e-07
Bwd IAT Std,6.142039095883587e-07
Fwd Packets/s,4.6335548947457306e-07
Flow Packets/s,4.6121447334994866e-07
Idle Std,3.710362376502296e-07
Fwd IAT Std,3.382088671315313e-07
Flow IAT Max,2.405715083999344e-07
Fwd IAT Max,2.0174893349201596e-07
Bwd IAT Max,1.8233068178253705e-07
Bwd IAT Total,8.544183508091758e-08
Fwd IAT Total,7.357374908032927e-08
Idle Max,4.803899195672794e-08
Flow Duration,4.76610783709722e-08
Active Std,4.518244698709508e-08
Idle Min,4.305766641265153e-08
Active Max,2.5494519919077887e-08
Active Mean,2.5247564062689228e-08
Idle Mean,2.4172909953682662e-08
Active Min,2.1848586553624843e-08
Bwd Bulk Rate Avg,5.598871754859519e-09
Flow Bytes/s,1.4425297028287586e-09
