,precision,recall,f1-score,support
Worms,0.0,0.0,0.0,49.0
Backdoor,0.68,0.18681318681318682,0.29310344827586204,91.0
DoS,0.47112462006079026,0.25833333333333336,0.333692142088267,600.0
Exploits,0.6009501187648456,0.4216666666666667,0.49559255631733595,600.0
Fuzzers,0.47928176795580113,0.5783333333333334,0.5241691842900302,600.0
Analysis,0.5039370078740157,0.8311688311688312,0.6274509803921569,77.0
Generic,0.6878612716763006,0.595,0.6380697050938338,600.0
Reconnaissance,0.5429726996966633,0.895,0.6758967904342353,600.0
Shellcode,0.7784200385356455,0.9619047619047619,0.8604898828541001,420.0
Benign,0.9948630136986302,0.9683333333333334,0.981418918918919,600.0
