Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Label,is_anomaly,anomaly_score
175.45.176.2-149.171.126.15-4664-25-6,175.45.176.2,149.171.126.15,4664,25,6,DoS,True,-0.21473091512175435
175.45.176.3-149.171.126.11-38156-25-6,175.45.176.3,149.171.126.11,38156,25,6,DoS,True,-0.21354013518045312
175.45.176.0-149.171.126.10-28085-25-6,175.45.176.0,149.171.126.10,28085,25,6,DoS,True,-0.21321838397163762
175.45.176.3-149.171.126.12-26969-25-6,175.45.176.3,149.171.126.12,26969,25,6,DoS,True,-0.21289677785840644
175.45.176.2-149.171.126.16-39366-25-6,175.45.176.2,149.171.126.16,39366,25,6,DoS,True,-0.21252733821127412
175.45.176.1-149.171.126.13-47895-80-6,175.45.176.1,149.171.126.13,47895,80,6,Fuzzers,True,-0.2118031059738349
175.45.176.3-149.171.126.14-11360-25-6,175.45.176.3,149.171.126.14,11360,25,6,DoS,True,-0.2113366044236662
175.45.176.1-149.171.126.15-2002-25-6,175.45.176.1,149.171.126.15,2002,25,6,DoS,True,-0.20960171143369077
59.166.0.7-149.171.126.9-55783-6881-6,59.166.0.7,149.171.126.9,55783,6881,6,Benign,True,-0.20764334722907096
175.45.176.2-149.171.126.10-30505-25-6,175.45.176.2,149.171.126.10,30505,25,6,DoS,True,-0.20724472341248235
59.166.0.4-149.171.126.0-49916-6881-6,59.166.0.4,149.171.126.0,49916,6881,6,Benign,True,-0.20240917628843857
175.45.176.3-149.171.126.18-21861-1723-6,175.45.176.3,149.171.126.18,21861,1723,6,Fuzzers,True,-0.20046726536982407
175.45.176.2-149.171.126.14-6450-80-6,175.45.176.2,149.171.126.14,6450,80,6,Fuzzers,True,-0.20040297018959974
175.45.176.1-149.171.126.13-31649-110-6,175.45.176.1,149.171.126.13,31649,110,6,DoS,True,-0.19984696902614196
175.45.176.2-149.171.126.13-1966-7002-6,175.45.176.2,149.171.126.13,1966,7002,6,Generic,True,-0.19956150419253316
175.45.176.2-149.171.126.19-17498-110-6,175.45.176.2,149.171.126.19,17498,110,6,DoS,True,-0.19951923226118384
175.45.176.1-149.171.126.19-53190-143-6,175.45.176.1,149.171.126.19,53190,143,6,DoS,True,-0.19894635242537606
175.45.176.1-149.171.126.10-53385-143-6,175.45.176.1,149.171.126.10,53385,143,6,DoS,True,-0.19883990355683578
175.45.176.0-149.171.126.15-52944-179-6,175.45.176.0,149.171.126.15,52944,179,6,Fuzzers,True,-0.19846589942406356
175.45.176.1-149.171.126.10-35912-143-6,175.45.176.1,149.171.126.10,35912,143,6,DoS,True,-0.19654265140255744
175.45.176.2-149.171.126.10-52870-110-6,175.45.176.2,149.171.126.10,52870,110,6,DoS,True,-0.19628487474203127
175.45.176.2-149.171.126.14-51642-1723-6,175.45.176.2,149.171.126.14,51642,1723,6,Fuzzers,True,-0.19587612954872813
175.45.176.3-149.171.126.14-47366-445-6,175.45.176.3,149.171.126.14,47366,445,6,Fuzzers,True,-0.1948044128112807
175.45.176.1-149.171.126.15-12187-21-6,175.45.176.1,149.171.126.15,12187,21,6,Fuzzers,True,-0.19466759193876704
175.45.176.0-149.171.126.12-28780-143-6,175.45.176.0,149.171.126.12,28780,143,6,DoS,True,-0.19419045529144363
175.45.176.2-149.171.126.18-17770-110-6,175.45.176.2,149.171.126.18,17770,110,6,DoS,True,-0.19318978135806064
175.45.176.0-149.171.126.11-63784-179-6,175.45.176.0,149.171.126.11,63784,179,6,Fuzzers,True,-0.19056052641148125
